X [mm],Y [mm],Z [mm],mX [mm],mY [mm],mZ [mm],inFieldTag
16.56,10.36,6.84,15.95,9.97836,-30.25,0.0419806
-14.48,-8.28,-5.56,-14.1205,-8.07442,-30.25,0.0506287
12.4,10.36,33.72,11.6326,9.71889,-30.25,0.0654392
0,-10.36,25.48,0,-9.79698,-30.25,1
16.56,-6.2,21.32,15.7238,-5.88694,-30.25,0.0450643
-8.24,6.2,23.4,-7.80803,5.87498,-30.25,0.144385
-2.08,-4.12,21.32,-1.97497,-3.91197,-30.25,1
-2.08,-8.28,-15.88,-2.04963,-8.1591,-30.25,1
-10.32,8.28,6.84,-9.93983,7.97498,-30.25,0.0878074
-8.24,-4.12,0.68,-7.98531,-3.99265,-30.25,0.154112
12.4,-10.36,23.4,11.75,-9.81689,-30.25,0.0642711
-4.16,2.04,35.8,-3.89473,1.90992,-30.25,1
-16.56,-8.28,-9.64,-16.2154,-8.10769,-30.25,0.0417686
-8.24,-4.12,8.92,-7.92009,-3.96005,-30.25,0.157379
16.56,-10.36,25.48,15.66,-9.79698,-30.25,0.0431324
10.32,-6.2,13.08,9.87861,-5.93482,-30.25,0.0926224
14.48,10.36,-3.48,14.091,10.0817,-30.25,0.049439
4.16,-4.12,19.24,3.95801,-3.91995,-30.25,1
-14.48,6.2,6.84,-13.9466,5.9716,-30.25,0.0534397
-12.4,-8.28,11,-11.8941,-7.94217,-30.25,0.0653896
-4.16,-2.04,27.56,-3.92596,-1.92523,-30.25,1
16.56,4.12,15.16,15.8192,3.9357,-30.25,0.0451639
-8.24,-8.28,37.88,-7.6991,-7.73647,-30.25,0.144964
-10.32,2.04,-15.88,-10.1693,2.01021,-30.25,0.0921725
14.48,10.36,39.96,13.5024,9.66057,-30.25,0.0529234
14.48,4.12,13.08,13.8607,3.94379,-30.25,0.0548682
10.32,-10.36,-15.88,10.1693,-10.2087,-30.25,0.0780074
4.16,2.04,-1.4,4.03982,1.98106,-30.25,1
2.08,6.2,19.24,1.979,5.89895,-30.25,1
-4.16,-6.2,31.64,-3.91043,-5.82805,-30.25,1
4.16,2.04,-15.88,4.09926,2.01021,-30.25,1
-2.08,8.28,-1.4,-2.01991,8.04079,-30.25,1
10.32,8.28,2.76,9.98027,8.00743,-30.25,0.0871679
0,-2.04,37.88,0,-1.90609,-30.25,1
16.56,2.04,15.16,15.8192,1.94875,-30.25,0.0451629
0,10.36,-9.64,0,10.1444,-30.25,1
-14.48,2.04,13.08,-13.8607,1.95275,-30.25,0.054867
-4.16,6.2,37.88,-3.88692,5.79301,-30.25,1
2.08,6.2,21.32,1.97497,5.88694,-30.25,1
-8.24,4.12,15.16,-7.87141,3.9357,-30.25,0.159901
10.32,10.36,-1.4,10.0219,10.0607,-30.25,0.0804221
-2.08,-6.2,2.76,-2.01153,-5.9959,-30.25,1
4.16,-10.36,27.56,3.92596,-9.77715,-30.25,1
14.48,-6.2,13.08,13.8607,-5.93482,-30.25,0.0539656
-2.08,-8.28,31.64,-1.95522,-7.78327,-30.25,1
-10.32,-6.2,2.76,-9.98027,-5.9959,-30.25,0.0906787
14.48,6.2,-11.72,14.2085,6.08375,-30.25,0.0518962
-10.32,6.2,-9.64,-10.1052,6.07097,-30.25,0.088396
12.4,4.12,8.92,11.9186,3.96005,-30.25,0.0697188
-16.56,-8.28,13.08,-15.8517,-7.92586,-30.25,0.0430921
10.32,10.36,33.72,9.68136,9.71889,-30.25,0.0865469
0,4.12,-1.4,0,4.00097,-30.25,1
16.56,2.04,-13.8,16.2838,2.00597,-30.25,0.0433412
12.4,2.04,-3.48,12.0669,1.9852,-30.25,0.0682997
12.4,4.12,-5.56,12.0921,4.01771,-30.25,0.0680661
-12.4,10.36,-3.48,-12.0669,10.0817,-30.25,0.0612952
-10.32,8.28,-1.4,-10.0219,8.04079,-30.25,0.0865176
-2.08,-10.36,33.72,-1.95128,-9.71889,-30.25,1
-14.48,6.2,2.76,-14.0033,5.9959,-30.25,0.0530977
-12.4,-10.36,25.48,-11.7261,-9.79698,-30.25,0.0645054
-14.48,6.2,31.64,-13.6113,5.82805,-30.25,0.055551
16.56,10.36,23.4,15.6919,9.81689,-30.25,0.0430031
4.16,6.2,19.24,3.95801,5.89895,-30.25,1
-16.56,10.36,25.48,-15.66,9.79698,-30.25,0.0431324
